tf,target,truth
TFAP2C,ACP5,0
VEZF1,ACP5,0
ZBTB18,ACP5,0
ZBTB20,ACP5,0
ZNF148,ACP5,0
ZNF219,ACP5,0
ZNF281,ACP5,0
ZNF441,ACP5,0
ARX,ACSL4,0
ASCL1,ACSL4,1
ATF7,ACSL4,0
BHLHE22,ACSL4,0
CTCF,ACSL4,0
DEAF1,ACSL4,1
E2F1,ACSL4,0
EMX1,ACSL4,0
FOS,ACSL4,1
JUN,ACSL4,0
KAT7,ACSL4,0
KLF10,ACSL4,0
KLF11,ACSL4,0
KLF3,ACSL4,1
MEF2C,ACSL4,0
MEIS2,ACSL4,0
NEUROD2,ACSL4,0
NEUROD6,ACSL4,0
NFIA,ACSL4,0
NFIB,ACSL4,0
NR2E1,ACSL4,0
NR4A2,ACSL4,0
PHF21A,ACSL4,0
POU2F1,ACSL4,0
POU3F1,ACSL4,0
POU3F2,ACSL4,0
RFX2,ACSL4,0
SATB2,ACSL4,0
SOX2,ACSL4,1
SOX5,ACSL4,0
SOX6,ACSL4,0
SOX9,ACSL4,1
TBR1,ACSL4,0
TCF12,ACSL4,0
TCF3,ACSL4,1
TCF7L1,ACSL4,0
TFAP2C,ACSL4,0
VEZF1,ACSL4,0
ZBTB18,ACSL4,1
ZBTB20,ACSL4,1
ZNF148,ACSL4,0
ZNF219,ACSL4,0
ZNF281,ACSL4,0
ZNF441,ACSL4,0
ARX,ACSS1,1
ASCL1,ACSS1,1
ATF7,ACSS1,1
BHLHE22,ACSS1,1
CTCF,ACSS1,1
DEAF1,ACSS1,1
E2F1,ACSS1,1
EMX1,ACSS1,1
FOS,ACSS1,1
JUN,ACSS1,1
KAT7,ACSS1,1
KLF10,ACSS1,1
KLF11,ACSS1,1
KLF3,ACSS1,1
MEF2C,ACSS1,1
MEIS2,ACSS1,1
NEUROD2,ACSS1,1
NEUROD6,ACSS1,1
NFIA,ACSS1,1
NFIB,ACSS1,1
NR2E1,ACSS1,1
NR4A2,ACSS1,0
PHF21A,ACSS1,1
POU2F1,ACSS1,1
POU3F1,ACSS1,1
POU3F2,ACSS1,1
RFX2,ACSS1,1
SATB2,ACSS1,0
SOX2,ACSS1,0
SOX5,ACSS1,1
SOX6,ACSS1,1
SOX9,ACSS1,1
TBR1,ACSS1,1
TCF12,ACSS1,0
TCF3,ACSS1,1
TCF7L1,ACSS1,1
TFAP2C,ACSS1,1
VEZF1,ACSS1,1
ZBTB18,ACSS1,1
ZBTB20,ACSS1,1
ZNF148,ACSS1,1
ZNF219,ACSS1,1
ZNF281,ACSS1,0
ZNF441,ACSS1,1
ARX,ACTA1,0
ASCL1,ACTA1,0
ATF7,ACTA1,0
BHLHE22,ACTA1,0
CTCF,ACTA1,0
DEAF1,ACTA1,0
E2F1,ACTA1,0
EMX1,ACTA1,0
FOS,ACTA1,0
JUN,ACTA1,0
KAT7,ACTA1,0
KLF10,ACTA1,0
KLF11,ACTA1,0
KLF3,ACTA1,0
MEF2C,ACTA1,0
MEIS2,ACTA1,0
NEUROD2,ACTA1,0
NEUROD6,ACTA1,0
NFIA,ACTA1,0
NFIB,ACTA1,0
NR2E1,ACTA1,0
NR4A2,ACTA1,0
PHF21A,ACTA1,0
POU2F1,ACTA1,0
POU3F1,ACTA1,1
POU3F2,ACTA1,0
RFX2,ACTA1,0
SATB2,ACTA1,0
SOX2,ACTA1,0
SOX5,ACTA1,0
SOX6,ACTA1,0
SOX9,ACTA1,0
TBR1,ACTA1,0
TCF12,ACTA1,0
TCF3,ACTA1,0
TCF7L1,ACTA1,0
TFAP2C,ACTA1,0
VEZF1,ACTA1,0
ZBTB18,ACTA1,0
ZBTB20,ACTA1,0
ZNF148,ACTA1,0
ZNF219,ACTA1,0
ZNF281,ACTA1,0
ZNF441,ACTA1,0
ARX,ACTB,1
ASCL1,ACTB,0
ATF7,ACTB,1
BHLHE22,ACTB,0
CTCF,ACTB,1
DEAF1,ACTB,0
E2F1,ACTB,1
EMX1,ACTB,0
FOS,ACTB,1
JUN,ACTB,1
KAT7,ACTB,0
KLF10,ACTB,0
KLF11,ACTB,1
KLF3,ACTB,1
MEF2C,ACTB,1
MEIS2,ACTB,1
NEUROD2,ACTB,0
NEUROD6,ACTB,0
NFIA,ACTB,0
NFIB,ACTB,1
NR2E1,ACTB,1
NR4A2,ACTB,1
PHF21A,ACTB,0
POU2F1,ACTB,1
POU3F1,ACTB,0
POU3F2,ACTB,0
RFX2,ACTB,1
SATB2,ACTB,1
SOX2,ACTB,1
SOX5,ACTB,0
SOX6,ACTB,1
SOX9,ACTB,1
TBR1,ACTB,1
TCF12,ACTB,0
TCF3,ACTB,0
TCF7L1,ACTB,1
TFAP2C,ACTB,1
VEZF1,ACTB,1
ZBTB18,ACTB,0
ZBTB20,ACTB,1
ZNF148,ACTB,0
ZNF219,ACTB,1
ZNF281,ACTB,1
ZNF441,ACTB,0
ARX,ACTC1,0
ASCL1,ACTC1,0
ATF7,ACTC1,0
BHLHE22,ACTC1,0
CTCF,ACTC1,0
DEAF1,ACTC1,0
E2F1,ACTC1,0
EMX1,ACTC1,0
FOS,ACTC1,0
JUN,ACTC1,0
KAT7,ACTC1,0
KLF10,ACTC1,0
KLF11,ACTC1,0
KLF3,ACTC1,0
MEF2C,ACTC1,0
MEIS2,ACTC1,0
NEUROD2,ACTC1,0
NEUROD6,ACTC1,0
NFIA,ACTC1,0
NFIB,ACTC1,0
NR2E1,ACTC1,0
NR4A2,ACTC1,0
PHF21A,ACTC1,0
POU2F1,ACTC1,0
POU3F1,ACTC1,0
POU3F2,ACTC1,0
RFX2,ACTC1,0
SATB2,ACTC1,0
SOX2,ACTC1,0
SOX5,ACTC1,0
SOX6,ACTC1,0
SOX9,ACTC1,0
TBR1,ACTC1,0
TCF12,ACTC1,0
TCF3,ACTC1,0
TCF7L1,ACTC1,0
TFAP2C,ACTC1,0
VEZF1,ACTC1,0
ZBTB18,ACTC1,0
ZBTB20,ACTC1,0
ZNF148,ACTC1,0
ZNF219,ACTC1,0
ZNF281,ACTC1,0
ZNF441,ACTC1,0
ARX,ACTG1,1
ASCL1,ACTG1,0
ATF7,ACTG1,1
BHLHE22,ACTG1,1
CTCF,ACTG1,1
DEAF1,ACTG1,1
E2F1,ACTG1,1
EMX1,ACTG1,1
FOS,ACTG1,1
JUN,ACTG1,1
KAT7,ACTG1,0
KLF10,ACTG1,1
KLF11,ACTG1,1
KLF3,ACTG1,1
MEF2C,ACTG1,1
MEIS2,ACTG1,1
NEUROD2,ACTG1,0
NEUROD6,ACTG1,1
NFIA,ACTG1,1
NFIB,ACTG1,1
NR2E1,ACTG1,1
NR4A2,ACTG1,1
PHF21A,ACTG1,1
POU2F1,ACTG1,1
POU3F1,ACTG1,0
POU3F2,ACTG1,1
RFX2,ACTG1,1
SATB2,ACTG1,1
SOX2,ACTG1,1
SOX5,ACTG1,1
SOX6,ACTG1,1
SOX9,ACTG1,1
TBR1,ACTG1,1
TCF12,ACTG1,0
TCF3,ACTG1,0
TCF7L1,ACTG1,1
TFAP2C,ACTG1,1
VEZF1,ACTG1,1
ZBTB18,ACTG1,1
ZBTB20,ACTG1,1
ZNF148,ACTG1,0
ZNF219,ACTG1,1
ZNF281,ACTG1,1
ZNF441,ACTG1,1
ARX,ACTG2,0
ASCL1,ACTG2,0
ATF7,ACTG2,0
BHLHE22,ACTG2,0
CTCF,ACTG2,0
DEAF1,ACTG2,0
E2F1,ACTG2,0
EMX1,ACTG2,0
FOS,ACTG2,0
JUN,ACTG2,0
KAT7,ACTG2,0
KLF10,ACTG2,0
KLF11,ACTG2,0
KLF3,ACTG2,0
MEF2C,ACTG2,0
MEIS2,ACTG2,0
NEUROD2,ACTG2,0
NEUROD6,ACTG2,0
NFIA,ACTG2,0
NFIB,ACTG2,0
NR2E1,ACTG2,0
NR4A2,ACTG2,0
PHF21A,ACTG2,0
POU2F1,ACTG2,0
POU3F1,ACTG2,0
POU3F2,ACTG2,0
RFX2,ACTG2,0
SATB2,ACTG2,0
SOX2,ACTG2,0
SOX5,ACTG2,0
SOX6,ACTG2,0
SOX9,ACTG2,0
TBR1,ACTG2,0
TCF12,ACTG2,0
TCF3,ACTG2,0
TCF7L1,ACTG2,0
TFAP2C,ACTG2,0
VEZF1,ACTG2,0
ZBTB18,ACTG2,0
ZBTB20,ACTG2,0
ZNF148,ACTG2,0
ZNF219,ACTG2,0
ZNF281,ACTG2,0
ZNF441,ACTG2,0
ARX,ACTL6B,0
ASCL1,ACTL6B,0
ATF7,ACTL6B,1
BHLHE22,ACTL6B,0
CTCF,ACTL6B,0
DEAF1,ACTL6B,1
