tf,target
POU3F2,ADGRG6
RFX2,ADGRG6
SOX2,ADGRG6
SOX5,ADGRG6
SOX6,ADGRG6
TBR1,ADGRG6
TCF3,ADGRG6
TCF7L1,ADGRG6
TFAP2C,ADGRG6
VEZF1,ADGRG6
ZBTB18,ADGRG6
ZBTB20,ADGRG6
ZNF219,ADGRG6
ZNF281,ADGRG6
ZNF441,ADGRG6
E2F1,ADGRL3
KLF10,ADGRL3
KLF11,ADGRL3
KLF3,ADGRL3
MEF2C,ADGRL3
NEUROD2,ADGRL3
NEUROD6,ADGRL3
NR2E1,ADGRL3
POU3F1,ADGRL3
RFX2,ADGRL3
SOX9,ADGRL3
TBR1,ADGRL3
VEZF1,ADGRL3
ZNF219,ADGRL3
ARX,ADGRV1
ATF7,ADGRV1
BHLHE22,ADGRV1
CTCF,ADGRV1
DEAF1,ADGRV1
EMX1,ADGRV1
KLF10,ADGRV1
NEUROD6,ADGRV1
NFIB,ADGRV1
NR2E1,ADGRV1
NR4A2,ADGRV1
POU2F1,ADGRV1
POU3F2,ADGRV1
RFX2,ADGRV1
SATB2,ADGRV1
TBR1,ADGRV1
VEZF1,ADGRV1
ZBTB18,ADGRV1
ZNF148,ADGRV1
ZNF219,ADGRV1
ARX,ADI1
ASCL1,ADI1
ATF7,ADI1
BHLHE22,ADI1
DEAF1,ADI1
EMX1,ADI1
FOS,ADI1
JUN,ADI1
KLF11,ADI1
KLF3,ADI1
MEF2C,ADI1
MEIS2,ADI1
NEUROD2,ADI1
NEUROD6,ADI1
NR4A2,ADI1
PHF21A,ADI1
POU3F2,ADI1
RFX2,ADI1
SATB2,ADI1
SOX5,ADI1
SOX9,ADI1
TBR1,ADI1
TCF7L1,ADI1
TFAP2C,ADI1
VEZF1,ADI1
ZBTB20,ADI1
ZNF281,ADI1
ARX,ADM
ATF7,ADM
BHLHE22,ADM
DEAF1,ADM
E2F1,ADM
EMX1,ADM
JUN,ADM
KLF10,ADM
KLF11,ADM
KLF3,ADM
NFIA,ADM
NFIB,ADM
POU2F1,ADM
POU3F1,ADM
POU3F2,ADM
RFX2,ADM
SOX2,ADM
SOX5,ADM
SOX6,ADM
SOX9,ADM
TBR1,ADM
TFAP2C,ADM
ZBTB18,ADM
ZBTB20,ADM
ZNF219,ADM
ZNF281,ADM
ZNF441,ADM
ARX,ADNP2
ATF7,ADNP2
EMX1,ADNP2
FOS,ADNP2
JUN,ADNP2
KAT7,ADNP2
KLF10,ADNP2
KLF3,ADNP2
MEF2C,ADNP2
MEIS2,ADNP2
NEUROD6,ADNP2
NFIA,ADNP2
NR2E1,ADNP2
NR4A2,ADNP2
PHF21A,ADNP2
POU3F2,ADNP2
RFX2,ADNP2
SATB2,ADNP2
SOX2,ADNP2
SOX5,ADNP2
SOX6,ADNP2
SOX9,ADNP2
TBR1,ADNP2
TCF3,ADNP2
TCF7L1,ADNP2
VEZF1,ADNP2
ZBTB18,ADNP2
ZNF219,ADNP2
ARX,ADRA2A
BHLHE22,ADRA2A
DEAF1,ADRA2A
KLF10,ADRA2A
NFIA,ADRA2A
POU2F1,ADRA2A
RFX2,ADRA2A
SOX9,ADRA2A
ZBTB18,ADRA2A
ZNF148,ADRA2A
ZNF441,ADRA2A
ARX,AEBP2
ATF7,AEBP2
BHLHE22,AEBP2
EMX1,AEBP2
FOS,AEBP2
JUN,AEBP2
KLF10,AEBP2
KLF11,AEBP2
KLF3,AEBP2
MEF2C,AEBP2
MEIS2,AEBP2
NEUROD2,AEBP2
NFIA,AEBP2
NFIB,AEBP2
NR2E1,AEBP2
NR4A2,AEBP2
POU2F1,AEBP2
POU3F2,AEBP2
RFX2,AEBP2
SATB2,AEBP2
SOX2,AEBP2
SOX5,AEBP2
SOX9,AEBP2
TBR1,AEBP2
TCF7L1,AEBP2
TFAP2C,AEBP2
VEZF1,AEBP2
ZBTB18,AEBP2
ZNF148,AEBP2
ZNF219,AEBP2
ZNF281,AEBP2
ZNF441,AEBP2
ARX,AEN
CTCF,AEN
KAT7,AEN
KLF3,AEN
MEF2C,AEN
NFIA,AEN
RFX2,AEN
SATB2,AEN
TCF12,AEN
TCF3,AEN
ZBTB18,AEN
ARX,AFF1
CTCF,AFF1
E2F1,AFF1
EMX1,AFF1
JUN,AFF1
KAT7,AFF1
KLF10,AFF1
KLF11,AFF1
KLF3,AFF1
MEF2C,AFF1
MEIS2,AFF1
NEUROD2,AFF1
NEUROD6,AFF1
NFIA,AFF1
NFIB,AFF1
NR2E1,AFF1
POU2F1,AFF1
POU3F2,AFF1
RFX2,AFF1
SATB2,AFF1
SOX2,AFF1
SOX5,AFF1
TBR1,AFF1
TCF3,AFF1
TCF7L1,AFF1
TFAP2C,AFF1
VEZF1,AFF1
ZBTB18,AFF1
ZBTB20,AFF1
ZNF148,AFF1
ZNF441,AFF1
ARX,AFF2
KLF10,AFF2
NR2E1,AFF2
VEZF1,AFF2
ZNF148,AFF2
ARX,AFF3
NEUROD2,AFF3
SOX2,AFF3
VEZF1,AFF3
ARX,AHNAK
