gene,ko_gene,log2fc,padj
ACAT2,GLI3,-0.41306602301993056,0.026144718985438724
ANKS1B,GLI3,0.340288979676906,0.026397982447632806
ARL4C,GLI3,0.2550411348494964,0.02760297946113166
ITFG1,GLI3,0.39155302998838915,0.02872845279320657
CAMK2D,GLI3,0.4414712873508943,0.029132907204715508
SCN3A,GLI3,0.48226200975020383,0.03029045189132784
SOBP,GLI3,0.4745107863272909,0.03224283409863293
FRY,GLI3,0.5343359193063693,0.03306345972199498
RPS16,GLI3,-0.20026206484168263,0.03359860970303143
RBFOX2,GLI3,0.25164292710952885,0.034471477644873794
RPS13,GLI3,-0.145761376331202,0.034648808445033916
SBF2,GLI3,0.4333441283598457,0.03642741484665457
EIF4G2,GLI3,0.16096232622519846,0.036641749249982425
TNC,GLI3,0.9044805296880609,0.03676331609713479
SP4,GLI3,0.6667837450970575,0.04069760179542392
SCG3,GLI3,0.27968978131069566,0.04141808316426321
ANK2,GLI3,0.2785794513632477,0.041525943468113446
NRXN2,GLI3,0.36758382169459086,0.04178814293141819
RPL13A,GLI3,-0.1765935674595065,0.042345616612858315
MAP9,GLI3,0.28546119926663577,0.04393507497261595
MEAF6,GLI3,0.22351298142316933,0.04413115535338186
TPT1,GLI3,-0.13349544477375908,0.04514609571545471
CNKSR2,GLI3,0.37626887560557487,0.04526251550581062
VIM,GLI3,-0.289094060585791,0.04764836481894147
AP002884.1,GLI3,0.5936567967403032,0.04897834422324365
CACNA2D1,GLI3,-0.9319610038369639,0.04973300957015032
TYMS,GLI3,-0.7664623667334379,0.05031795005267096
RPL9,GLI3,-0.13219299297836873,0.05285491239918849
EEF1A1,GLI3,-0.13682440358871162,0.05700989377422111
PLEKHH2,GLI3,0.7691969737410815,0.05900228476238123
N4BP2L2,GLI3,0.24252073635063498,0.060212473992981685
CKB,GLI3,-0.14525150525866692,0.06166858031585549
SH3GLB1,GLI3,0.31578987382468793,0.06167197028172122
ELAVL3,GLI3,0.2224404263182631,0.06227315159310276
CD99,GLI3,-0.6245779116392047,0.06358467324030943
TCAF1,GLI3,0.2572549838862881,0.06479018192881458
HIST1H1C,GLI3,0.20251052400731323,0.06552806072192752
DYNLL1,GLI3,-0.2306858601683408,0.06598367843782098
RPL35A,GLI3,-0.1450393486746595,0.07014246749750591
HS6ST2,GLI3,0.4826891002556075,0.07435442009371318
EML1,GLI3,-0.7221936144735961,0.08004313127924913
ARID1B,GLI3,0.2987063912926803,0.08013410549880362
PCDH7,GLI3,0.5197609320160406,0.08126085563756558
NUDCD3,GLI3,0.3956585177545465,0.08330032697868006
CLK4,GLI3,0.4674087232758408,0.08557599760983425
NTRK2,GLI3,0.4686122998189439,0.09300986894683838
SHTN1,GLI3,0.20901849196031674,0.0965657440678882
NLRP1,GLI3,0.24266712434083604,0.09694877010266012
SHPRH,GLI3,0.32112300143994255,0.09845004412864178
UCHL1,GLI3,0.17539368268210476,0.0994475187461612
DYNC1I1,GLI3,0.6567146224415019,0.0994968773367253
ACSL6,GLI3,0.8027500498715257,0.09961499574506938
LRRC4C,GLI3,0.5324243254765585,0.10069004012649518
SLC17A7,GLI3,-1.8932940607739477,0.1064259000119525
